Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,MA6,MA12,MA24,CCI,ADX,Plus_DI,Minus_DI,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Histogram,RSI,MA3,Volume_MA12,Year,Pivot_Point,Pivot_Resistance,Pivot_Support
2024-03-04,255500.0,260000.0,232000.0,233000.0,22909204.0,213180.0,190030.0,175235.0,205933.33333333334,201316.66666666666,189691.66666666666,229.2326205683606,1522.5717370277528,33.624312964759135,-22.696411251212417,236372.391642619,190030.0,143687.608357381,9699.761727045057,4620.700584441253,5079.061142603804,66.80244399185335,226033.33333333334,14901257.416666666,2024,241666.66666666666,248000.0,169866.66666666666
2024-04-01,234500.0,254500.0,214500.0,251000.0,24057765.0,226520.0,192780.0,177110.0,219483.33333333334,205775.0,192400.0,181.13183606141345,1546.0621641264274,30.924769550996135,-16.503122212310437,246546.81034557315,192780.0,139013.18965442685,12721.40979640765,6240.842426834533,6480.567369573117,68.2106289614822,244833.33333333334,15498358.083333334,2024,240000.0,248000.0,169866.66666666666
2024-05-02,249000.0,277500.0,235000.0,253000.0,17872464.0,236420.0,196605.0,179085.0,230933.33333333334,210191.66666666666,195045.83333333334,191.31839289319603,1565.1097831740462,33.50713501646542,-15.230515916575193,256077.11553590288,196605.0,137132.88446409712,15103.368713470583,8013.347684161743,7090.02102930884,67.21970839617899,245666.66666666666,15924425.583333334,2024,255166.66666666666,248000.0,169866.66666666666
2024-06-03,257500.0,299500.0,256500.0,295000.0,18953064.0,256500.0,203130.0,181668.33333333334,246183.33333333334,217566.66666666666,199816.66666666666,218.6382317005444,1443.3565364208,31.50116670987815,-14.389421830438165,275094.5556031432,203130.0,131165.44439685685,20147.88503067405,10440.255153464204,9707.629877209845,71.39096094778412,266333.3333333333,16541383.0,2024,283666.6666666667,248000.0,169866.66666666666
2024-07-01,292000.0,296000.0,232000.0,249000.0,19962504.0,256200.0,207130.0,183710.0,255250.0,221983.33333333334,202025.0,126.90984721222304,1457.6158283003138,27.892561983471076,-9.274563820018365,279994.6358523442,207130.0,134265.36414765578,20201.020207620662,12392.408164295495,7808.612043325167,59.02726602800295,265666.6666666667,17110356.0,2024,259000.0,248000.0,169866.66666666666
2024-08-01,251000.0,267000.0,216500.0,255500.0,16599307.0,260700.0,212355.0,185826.66666666666,256083.33333333334,227516.66666666666,204504.16666666666,83.13261170279662,1117.1132154179224,25.79070261091064,-8.5756739545744,283232.2541644689,212355.0,141477.7458355311,20530.95779403046,14020.11809024249,6510.8397037879695,59.02726602800295,266500.0,17650915.583333332,2024,246333.33333333334,248000.0,169866.66666666666
2024-09-02,256000.0,259000.0,221500.0,244000.0,12978517.0,259300.0,216205.0,187660.0,257916.66666666666,231925.0,207316.66666666666,62.9831952224434,985.2177581980915,24.462038164839626,-9.21640276086074,285044.8744608781,216205.0,147365.1255391219,19638.105956670246,15143.71566352804,4494.390293142205,58.81057268722467,249500.0,18172423.083333332,2024,241500.0,248000.0,169866.66666666666
2024-10-02,237500.0,255500.0,215000.0,215000.0,14045110.0,251700.0,218140.0,189210.0,251916.66666666666,235700.0,209420.83333333334,27.647118743596042,853.3223009782604,23.348188335593875,-8.796744816895949,284383.67775195796,218140.0,151896.32224804204,16401.391771198076,15395.250885062049,1006.1408861360269,54.39728353140917,238166.66666666666,18563052.833333332,2024,228500.0,248000.0,169866.66666666666
2024-11-01,212500.0,226500.0,197300.0,218500.0,16768217.0,236400.0,219840.0,190835.0,246166.66666666666,238550.0,211483.33333333334,-11.597842792784197,868.5647308500791,22.578227468615324,-8.169383548810192,284166.0575833038,219840.0,155513.94241669626,13957.79642051534,15107.759992152709,-1149.9635716373687,54.62837837837837,225833.33333333334,19257809.583333332,2024,214100.0,248000.0,169866.66666666666
2024-12-02,219500.0,220500.0,200000.0,212000.0,11624207.0,229000.0,220565.0,192360.0,232333.33333333334,239258.33333333334,214025.0,-22.373403643544563,785.7645768262054,22.722986988497077,-8.73090703375448,284153.52180435666,220565.0,156976.47819564334,11365.716913051467,14359.35137633246,-2993.634463280994,57.52401280683031,215166.66666666666,19492491.083333332,2024,210833.33333333334,248000.0,169866.66666666666
2025-01-02,212000.0,227000.0,200000.0,206000.0,14102248.0,219100.0,220865.0,193710.0,225166.66666666666,240208.33333333334,215650.0,-23.31457953634976,282.82178254677655,23.509811181044057,-8.5523880044428,284100.64201502677,220865.0,157629.35798497326,8726.729072012211,13232.826915468411,-4506.0978434562,53.98165137614679,212166.66666666666,19759323.583333332,2025,211000.0,248000.0,169866.66666666666
2025-02-03,201000.0,211000.0,193000.0,193000.0,15975978.0,208900.0,220190.0,195010.0,214750.0,235416.66666666666,216345.83333333334,-54.05925061669316,267.46828611063705,20.545386626821067,-8.629062383264849,284352.6846793613,220190.0,156027.31532063874,5522.659064679348,11690.7933453106,-6168.134280631251,48.028539241457,203666.66666666666,17154048.75,2025,199000.0,248000.0,169866.66666666666
2025-03-04,190000.0,229000.0,189200.0,197200.0,14885624.0,205340.0,220250.0,196818.33333333334,206950.0,232433.33333333334,216875.0,-39.005567499035315,250.92494452610273,23.209428830462375,-8.377153218495014,284319.6167420539,220250.0,156180.38325794615,3284.454254778335,10009.525527204149,-6725.071272425814,50.49694189602447,198733.33333333334,16485417.083333334,2025,205133.33333333334,248000.0,169866.66666666666
2025-04-01,199000.0,200500.0,175800.0,190600.0,16480216.0,199760.0,220325.0,198435.0,202883.33333333334,227400.0,216587.5,-81.37440539417173,273.3622152536116,13.662276390800082,-9.0819736583448,284244.4188432838,220325.0,156405.58115671622,966.9495831490203,8201.010338393124,-7234.060755244103,35.89260480452191,193600.0,15853954.666666666,2025,188966.66666666666,248000.0,169866.66666666666
2025-05-02,190200.0,198300.0,179300.0,185300.0,11345154.0,194420.0,220035.0,199890.0,197350.0,221758.33333333334,215975.0,-84.08546391414225,246.43631096921672,13.908345007004202,-2.2413448068841304,284562.4409191852,220035.0,155507.55908081483,-1282.5705964255321,6304.294151429393,-7586.864747854926,38.08095952023988,191033.33333333334,15310012.166666666,2025,187633.33333333334,248000.0,169866.66666666666
2025-06-02,184600.0,221500.0,183100.0,203500.0,15788557.0,193920.0,221725.0,201653.33333333334,195933.33333333334,214133.33333333334,215850.0,-50.09369087052336,232.05193119744845,18.61072073880747,-2.248544468982132,282354.4656521327,221725.0,161095.53434786727,-1578.5471405773715,4727.725893028041,-6306.273033605413,38.1427858212681,193133.33333333334,15046303.25,2025,202700.0,248000.0,169866.66666666666
2025-07-01,204000.0,233000.0,203500.0,213000.0,20959453.0,197920.0,223160.0,203095.0,197100.0,211133.33333333334,216558.33333333334,-18.411374072245113,231.9956882278196,14.368171511028654,-6.514120799835086,281370.1239159974,223160.0,164949.8760840026,-1034.6136963592726,3575.2579751505787,-4609.871671509851,40.37536092396536,200600.0,15129382.333333334,2025,216500.0,248000.0,169866.66666666666
2025-08-01,211000.0,225000.0,207000.0,220000.0,10551216.0,202480.0,223985.0,203820.0,201600.0,208175.0,217845.83333333334,-19.96561192804162,259.7786195821796,10.446780551905388,-7.68725361366623,281485.2892441236,223985.0,166484.71075587638,-38.25998711306602,2852.55438269785,-2890.814369810916,28.2986111111111,212166.66666666666,14625374.75,2025,217333.33333333334,248000.0,169866.66666666666
2025-08-04,210000.0,225000.0,207000.0,220000.0,9467936.0,208360.0,225255.0,204511.66666666666,205400.0,206175.0,219050.0,-25.127709512632794,292.45810321286984,11.617145640526061,-8.548465660009743,281121.36216054,225255.0,169388.63783946002,742.7950271067675,2430.6025115796338,-1687.8074844728662,38.56466876971609,217666.66666666666,14332826.333333334,2025,217333.33333333334,248000.0,169866.66666666666
2025-08-05,213000.0,225000.0,208500.0,220000.0,8816254.0,215300.0,223730.0,205436.66666666666,210300.0,206591.66666666666,221145.83333333334,-21.029141795556708,332.4459155804602,12.665958576739248,-9.718534253850239,278345.9452329097,223730.0,169114.05476709027,1346.2678157165356,2213.7355724070144,-867.4677566904788,35.24522028262676,220000.0,13897088.333333334,2025,217833.33333333334,248000.0,169866.66666666666
